Disk no.: 1 - 1997 ,Disk no.: 1 - 1997 ,"Subject:  The Language 
Rosedale, Upington, A. Kassie, G. Seekoei","Subject:  The Language 
Rosedale, Upington, A. Kassie, G. Seekoei",Date recorded: 13 Nov 1997 
Translations coordinator: Louie Ettling ,Translations coordinator: Louie Ettling ,Task: English translation of Afrikaans transcription ,Task: English translation of Afrikaans transcription ,Date returned: 10 Dec 2008 
Translator:LeviNamaseb ,Translator:LeviNamaseb ,Task:Khoekhoegowab (Nama) and N|uu transcriptions with English translations ,Task:Khoekhoegowab (Nama) and N|uu transcriptions with English translations ,Date returned: not specified 
Editing coordinator:Kerry Jones (African Tongue) ,Editing coordinator:Kerry Jones (African Tongue) ,"Task:Editing, proofing and combination of all languages transcribed and translated into one text file ","Task:Editing, proofing and combination of all languages transcribed and translated into one text file ",Date edited:June 2015 
Translator: Francoise Steyn (Betta) ,Translator: Francoise Steyn (Betta) ,Task: Editing of Afrikaans transcriptions and corresponding English translations ,Task: Editing of Afrikaans transcriptions and corresponding English translations ,Date edited:June 2015 
Translator: Bonny Sands and Alena Witzlack ,Translator: Bonny Sands and Alena Witzlack ,Task: Editing of N|uu transcriptions and corresponding English translations ,Task: Editing of N|uu transcriptions and corresponding English translations ,Date edited:October 2015 
Translator: Niklass Fredericks ,Translator: Niklass Fredericks ,Task: Editing of Khoekhoegowab (Nama) transcriptions and corresponding English translations ,Task: Editing of Khoekhoegowab (Nama) transcriptions and corresponding English translations ,Date edited: September 2015 
TIME/CODE ,ENGLISH TRANSLATION ,ENGLISH TRANSLATION ,AFRIKAANS/KHOEKHOEGOWAB/N|UU TRANSCRIPTION ,COMMENTS 
"Note: Colour coding for transcriptions: green text is N|uu, blue is Afrikaans, red is Khoekhoegowab (Nama) and black is English."
"Film Clip: 1997_01-05 
Abbreviations: 
Antjie: Anna “Antjie” Kassie, sitting on the left 
Bab: Griet “Babatjies” Seekoei de Jager, sitting on the right Tony: Tony Traill 
Nigel: Nigel Crawhall 
OS: Off screen 
Keywords: Anna “Antjie” Kassie, Griet “Babatjies” Seekoei de Jager, Ou Hendrik, Tony Traill, N|uu language, N|uu names for traditional clothing, G!urike "
00:00:01 ,,Bab $My naam is Griet Seekoei. ,"‘Seekoei’ directly translated is 
hippopotamus "
00:00:02 ,Hendrik OS (Hendrik): You must actually in your ... ,Hendrik $Jy moet nou eintlik op jou... ,
00:00:02 ,Bab Bab: In my language? ,Bab $Op my taal? ,
00:00:03 ,Hendrik OS (Hendrik): No young-one (term of endearment) first wait. ,Hendrik $Nee jong wag jy eers. ,
00:00:05 ,Bab Bab: In my language? ,Bab $Op my taal? ,
00:00:05 ,Hendrik OS (Hendrik): Yes. ,Hendrik $Ja . ,
00:00:06 ,Bab Bab: Griet Seekoei yes. ,Bab $Griet Seekoei ja. ,
00:00:08 ,"Bab Bab: This is Griet Seekoei, who speaks here. ",Bab Bab: > Griet Seekoei ke a he ǂxoa ng  a.  >ki,"N|uu 
Levi transcribed and translated. Bonny 
updated. Alena 
updated. "
00:00:09 ,Tony OS (Tony): And your name? ,Tony $En jou naam? ,
00:00:10 ,Antjie Antjie: My name is Anna Kassie. My small-name ,"Antjie Antjie: > Ng ka |î ke ng Anna Kassie.g ka |î ǂ’î,  > Nʘû ndi","N|uu 
Levi transcribed and translated "
,(nick name) is Antjie. ,>na n Antjie.  >g,Bonny updated: ʘû ndi replaces pondi. 
