Disk no.: 1 - 1997 ,Disk no.: 1 - 1997 ,"Subject:  The Language 
Rosedale, Upington, A. Kassie, G. Seekooi","Subject:  The Language 
Rosedale, Upington, A. Kassie, G. Seekooi",Date recorded: 13 Nov 1997 
Translations coordinator: Louie Ettling ,Translations coordinator: Louie Ettling ,Task: English translation of Afrikaans transcription ,Task: English translation of Afrikaans transcription ,Date returned: 10 Dec 2008 
Translator:LeviNamaseb,Translator:LeviNamaseb,Task:Khoekhoegowab (Nama) and N|uu transcriptions with English translations,Task:Khoekhoegowab (Nama) and N|uu transcriptions with English translations,Date returned: not specified
Editing coordinator:Kerry Jones (African Tongue) ,Editing coordinator:Kerry Jones (African Tongue) ,"Task:Editing, proofing and combination of all languages transcribed and translated into one text file","Task:Editing, proofing and combination of all languages transcribed and translated into one text file",Date edited:June 2015
Translator: Francoise Steyn (Betta),Translator: Francoise Steyn (Betta),Task: Editing of Afrikaans transcriptions and corresponding English translations,Task: Editing of Afrikaans transcriptions and corresponding English translations,Date edited:June 2015
Translator: Niklaas Fredericks ,Translator: Niklaas Fredericks ,Task: Editing of Khoekhoegowab (Nama) transcriptions and corresponding English translations,Task: Editing of Khoekhoegowab (Nama) transcriptions and corresponding English translations,Date edited: July 2015
TIME/CODE ,ENGLISH TRANSLATION ,ENGLISH TRANSLATION ,AFRIKAANS/KHOEKHOEGOWAB/N|UU TRANSCRIPTION ,COMMENTS 
" Note: Colour coding for transcriptions: green text is N|uu, blue is Afrikaans, red is Khoekhoegowab (Nama) and black is English."
"Film clip: 1997_01-01 
Katriena: Katriena Witbooi 
Petrus: Petrus Vaalbooi 
OS: Off screen
Keywords: Katriena Witbooi (Ouma),Petrus Vaalbooi, Nama language, ǂHanasen, kinship, biography, interview assistance, Willem Claasen, Elsie Vaalbooi, Petsi (place name)."
00:00:00 ,Petrus OS (Petrus): Grandmother do you know Mother? Describe  her to him so that he … can understand well. He will not understand well.,"Petrus $Ken Ouma vir Ma? Verduidelik hom lat hy net ... mooi kan hoor. Hy sal nie mooi verstaan nie. 
",
00:00:06 ,Katriena Katriena: I know her from the time she had Jacoba …,Katriena $Ek ken hom van die tyd wat hy Jacoba gehad het  $al …,
00:00:13 ,Petrus OS (Petrus): Yes,Petrus $Aha.,
00:00:14 ,Katriena Katriena: I know her.,Katriena $Ken ek hom.,
00:00:15 ,"Katriena Katriena: I’ve known her since she was dating/married to 
Toper. While I was in […] they lived in Petsi, and when I 
started dating Willem Claasen from Petsi I relocated and 
moved there, that’s how I 
knew her, Elsie your mother. ","Katriena +Toperas ge ūhâ I ||aeba xu ta ǂan, ge ǂan. […] ta hâ tita hîas ge ||în ge Petsis ai hâ i sa, tsî Petsisa xu i ta ge Willem Klaaseba u tsîta ge tita ge ||naǀî doe, ||napa u ta ge ǂan. Elsisa, sa ma sa.  
","Khoekhoegowab, Niklaas transcribed and translated. "
00:00:35 ,"Petrus OS (Petrus): Yes.  Grandmother’s, Grandmother, Grandmother … was 
Grandmother … who, who is Grandmother? Grandmother’s ","Petrus $Aha. Ouma se, Ouma, Ouma ... was Ouma …wie, wie’s Ouma? Ouma se naam?",
,name?,,
00:00:46 ,2 OS 2: What is your name? ,2 +Matits |on hâ? ,"Khoekhoegowab, Niklaas transcribed and translated. Referring to male person. Female would be ‘Matis’"
00:00:48 ,Katriena Katriena: Katriena.,Katriena $Katriena.,
